IntOrig	Int	Comp	Tissue	Lesion	FISHER
21 day	21 day	IRM COMPARED TO NB	"BONE, FEMUR, MEDIAL"	"Implant Material, Not Identified in Marrow"	1
21 day	21 day	IRM COMPARED TO NB	"BONE, FEMUR, MEDIAL"	"Implant Material, Present in Marrow"	1
21 day	21 day	IRM COMPARED TO NB	"BONE, FEMUR, MEDIAL"	Osteoneogenesis	0.987179487
21 day	21 day	IRM COMPARED TO NB	"BONE, FEMUR, MEDIAL"	"Periosteum, Bone Proliferation"	0.5
21 day	21 day	IRM COMPARED TO NB	"BONE, FEMUR, MEDIAL"	"Periosteum, Fibrosis"	0.1
21 day	21 day	IRM COMPARED TO NB	"LYMPH NODE, POPLITEAL"	UNREMARKABLE	0.5
21 day	21 day	IRM COMPARED TO NB	"LYMPH NODE, POPLITEAL"	"Fibrosis, Capsule"	1
21 day	21 day	IRM COMPARED TO NB	"LYMPH NODE, POPLITEAL"	"Germinal Center, Active, Cortex"	1
21 day	21 day	IRM COMPARED TO NB	"LYMPH NODE, POPLITEAL"	"Infiltrate, Heterophil, Medullary Cord"	1
21 day	21 day	IRM COMPARED TO NB	"LYMPH NODE, POPLITEAL"	"Pigment, Yellow-Brown, Macrophage"	1
126 day	126 day	IRM COMPARED TO NB	"BONE, FEMUR, CENTER"	Cortical Bone Defect	1
126 day	126 day	IRM COMPARED TO NB	"BONE, FEMUR, CENTER"	"Cortical Bone Defect, Not Apparent in Plane of Section"	1
126 day	126 day	IRM COMPARED TO NB	"BONE, FEMUR, CENTER"	"Cortical Bone Defect, Replaced with Trabecular Bone"	1
126 day	126 day	IRM COMPARED TO NB	"BONE, FEMUR, CENTER"	"Implant Material, Black, Multinucleated Giant Cell"	1
126 day	126 day	IRM COMPARED TO NB	"BONE, FEMUR, CENTER"	"Implant Material, Center Cavity"	1
126 day	126 day	IRM COMPARED TO NB	"BONE, FEMUR, CENTER"	"Implant Material, Fibrosis"	0.5
126 day	126 day	IRM COMPARED TO NB	"BONE, FEMUR, CENTER"	"Implant Material, Granulation Tissue (Central Cavity/Necrosis)"	1
126 day	126 day	IRM COMPARED TO NB	"BONE, FEMUR, CENTER"	"Implant Material, Hemorrhage"	0.766666667
126 day	126 day	IRM COMPARED TO NB	"BONE, FEMUR, CENTER"	"Implant Material, Infiltrate, Heterophil"	0.996503497
126 day	126 day	IRM COMPARED TO NB	"BONE, FEMUR, CENTER"	"Implant Material, Infiltrate, Lymphocytes"	0.5
126 day	126 day	IRM COMPARED TO NB	"BONE, FEMUR, CENTER"	"Implant Material, Infiltrate, Macrophages"	0.5
126 day	126 day	IRM COMPARED TO NB	"BONE, FEMUR, CENTER"	"Implant Material, Infiltrate, Marrow Elements"	0.695804196
126 day	126 day	IRM COMPARED TO NB	"BONE, FEMUR, CENTER"	"Implant Material, Infiltrate, Multinucleated Giant Cells"	0.766666667
126 day	126 day	IRM COMPARED TO NB	"BONE, FEMUR, CENTER"	"Implant Material, Intracellular Implant Particles, Macrophages"	0.715384615
126 day	126 day	IRM COMPARED TO NB	"BONE, FEMUR, CENTER"	"Implant Material, Marrow Necrosis"	1
126 day	126 day	IRM COMPARED TO NB	"BONE, FEMUR, CENTER"	"Implant Material, Metaplasia Osseous"	0.233333333
126 day	126 day	IRM COMPARED TO NB	"BONE, FEMUR, CENTER"	"Implant Material, Mineralization"	0.695804196
126 day	126 day	IRM COMPARED TO NB	"BONE, FEMUR, CENTER"	"Implant Material, Neovascularization"	1
